,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'TRAALR6ALB2'}),frozenset({'TRAAALR03ALB2'}),0.18840180830132108,0.15113780099316032,0.10264218120490959,0.5448046498616853,3.60468821354851,1.0,0.07416754619511298,1.8648305584600242,0.8903217183141453,0.4332768913223498,0.4637582511379483,0.6119672138283416
1,frozenset({'TRAAALR03ALB2'}),frozenset({'TRAALR6ALB2'}),0.15113780099316032,0.18840180830132108,0.10264218120490959,0.679129777794998,3.60468821354851,1.0,0.07416754619511298,2.52936587920631,0.8512376890610001,0.4332768913223498,0.6046439907247463,0.6119672138283416
2,frozenset({'TRAAAR03EHDB2'}),frozenset({'TRAALR6ALB2'}),0.0580026702895156,0.18840180830132108,0.03097184484212499,0.5339727410398789,2.83422301438778,1.0,0.02004403687327494,1.7415251492147783,0.6870185229306176,0.143765799559651,0.4257906637461527,0.34918262203518513
3,frozenset({'TRAAR6EHDB2'}),frozenset({'TRAAAR03EHDB2'}),0.0682417080483463,0.0580026702895156,0.04612398107373747,0.6758913631097954,11.652762876883749,1.0,0.042165779781815856,2.906424644368846,0.981137973234857,0.5756833796228622,0.6559346543054247,0.735547902655352
4,frozenset({'TRAAAR03EHDB2'}),frozenset({'TRAAR6EHDB2'}),0.0580026702895156,0.0682417080483463,0.04612398107373747,0.7952044422009087,11.652762876883749,1.0,0.042165779781815856,4.549699719882244,0.9704734963433335,0.5756833796228622,0.7802052747283545,0.735547902655352
5,frozenset({'TRAAAR03EHDBLK'}),frozenset({'TRAAR6EHDR1'}),0.3062605406165089,0.3572127096411506,0.20049130984727817,0.6546429698180671,1.8326418745730229,1.0,0.09109115227749136,1.861225439714464,0.6549139558271068,0.4330434782608696,0.46271957245898543,0.6079544305406267
6,frozenset({'TRAAR6EHDR1'}),frozenset({'TRAAAR03EHDBLK'}),0.3572127096411506,0.3062605406165089,0.20049130984727817,0.5612658912631863,1.8326418745730226,1.0,0.09109115227749136,1.5812298282002257,0.7068273758253,0.4330434782608696,0.3675808651180001,0.6079544305406267
7,frozenset({'TRAAR6EHDB2'}),frozenset({'TRAALR6ALB2'}),0.0682417080483463,0.18840180830132108,0.03697121240513445,0.5417685673831896,2.875601737944628,1.0,0.02411435120725519,1.7711534694682687,0.7000170575323841,0.16830165542611897,0.43539618828163,0.36900227082366205
8,"frozenset({'TRAAAR03EHDBLK', 'TRAALR6ALB2'})",frozenset({'TRAAR6EHDR1'}),0.04346833130328867,0.3572127096411506,0.03296870608076455,0.7584534554762227,2.1232543943863345,1.0,0.017441265672337555,2.66113221212144,0.5530657207741768,0.0896589615167175,0.6242200987064804,0.4253738904662857
9,"frozenset({'TRAALR6ALB2', 'TRAAR6EHDR1'})",frozenset({'TRAAAR03EHDBLK'}),0.05529724538555233,0.3062605406165089,0.03296870608076455,0.5962088319390024,1.9467373457214614,1.0,0.016033341814381537,1.718064965895176,0.5147862838796942,0.1003341501447984,0.41794983318400725,0.35192902232329043
10,"frozenset({'TRAAAR03EHDBLK', 'TRDR20RJBLK180'})",frozenset({'TRAAR6EHDR1'}),0.049947882507261315,0.3572127096411506,0.037911084043848964,0.7590128377982296,2.1248203586057173,1.0,0.020069065592592323,2.6673092644688903,0.5572030938284737,0.10267064196904337,0.6250903435454763,0.43257155770945244
11,"frozenset({'TRDR20RJBLK180', 'TRAAR6EHDR1'})",frozenset({'TRAAAR03EHDBLK'}),0.06159233580061838,0.3062605406165089,0.037911084043848964,0.6155162578436966,2.0097798319190887,1.0,0.01904778198371802,1.804340166616113,0.5354102270114901,0.1149023401102168,0.44578077986513187,0.3696516460682837
